myo,timestamp,orientation.w,orientation.x,orientation.y,orientation.z,accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
0,"808052737882",0.31243896484375,-0.05120849609375,-0.425048828125,0.84796142578125,0.49951171875,-0.71337890625,0.17041015625,-45.5,64.125,-21.8125
0,"808052767501",0.318115234375,-0.064697265625,-0.4296875,0.84259033203125,-0.26025390625,-1.0263671875,0.39306640625,-34.6875,56.8125,-31.875
0,"808052790071",0.32281494140625,-0.07012939453125,-0.43927001953125,0.83538818359375,0.21728515625,-0.85791015625,0.10498046875,-41.75,30.6875,-24.375
0,"808052797560",0.3251953125,-0.07476806640625,-0.4530029296875,0.82672119140625,0.1484375,-0.7177734375,0.078125,-70.4375,11.0625,-21.5625
0,"808052820042",0.32537841796875,-0.07965087890625,-0.468505859375,0.8175048828125,0.15283203125,-0.8359375,0.130859375,-81.8125,2.875,-13.5
0,"808052842544",0.32244873046875,-0.08453369140625,-0.48358154296875,0.809326171875,0.12890625,-1.076171875,0.20458984375,-75.9375,-7.3125,-0.875
0,"808052857602",0.31671142578125,-0.09002685546875,-0.49847412109375,0.80194091796875,0.05029296875,-1.18408203125,0.2216796875,-74.8125,-15.4375,9.625
0,"808052880009",0.3092041015625,-0.09393310546875,-0.510986328125,0.7965087890625,0.0634765625,-1.171875,0.236328125,-60.6875,-23.9375,19.5625
0,"808052902492",0.29925537109375,-0.09674072265625,-0.5208740234375,0.7935791015625,0.11376953125,-1.224609375,0.2978515625,-44.625,-32.125,36.4375
0,"808052917561",0.28790283203125,-0.099609375,-0.529052734375,0.7919921875,0.140625,-1.255859375,0.3662109375,-38.875,-33.75,48.9375
0,"808052940299",0.27471923828125,-0.10272216796875,-0.5367431640625,0.79107666015625,0.16162109375,-1.3056640625,0.369140625,-36.75,-36.6875,61.5
0,"808052962914",0.25927734375,-0.1068115234375,-0.54498291015625,0.7901611328125,0.15673828125,-1.265625,0.3349609375,-43.375,-39.6875,76.5
0,"808052978085",0.24212646484375,-0.1131591796875,-0.55340576171875,0.78887939453125,0.09716796875,-1.236328125,0.294921875,-49.5,-35.6875,88.8125
0,"808053000052",0.2232666015625,-0.12042236328125,-0.560302734375,0.7884521484375,0.10205078125,-1.1982421875,0.1708984375,-50.8125,-35.875,104
